ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
-1,6.52091,4.611073,6.489856,4.588929,15.98893,0.2757157,3.105008,0.4363963,ACCELERATE
-1,6.520908,4.611071,6.489859,4.588931,15.98893,0.2757286,3.105008,0.4570404,ACCELERATE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757324,3.105008,0.4651271,ACCELERATE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757425,3.105008,0.507215,ACCELERATE
-1,6.520896,4.611063,6.48987,4.588938,15.98894,0.2757467,3.105017,0.6089942,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.275744,3.105018,0.7042078,ACCELERATE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757449,3.105033,0.8048614,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757446,3.105051,0.9034376,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757441,3.105066,1.001068,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105082,1.103674,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.1051,1.202548,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105117,1.30043,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105134,1.406603,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105149,1.506525,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105164,1.604665,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105182,1.702839,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105196,1.802222,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105212,1.906965,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105229,2.004889,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105244,2.104515,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105258,2.204209,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757442,3.105273,2.300044,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105288,2.406986,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105305,2.506085,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.10532,2.605891,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105336,2.706535,ACCELERATE
