ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
-1,6.52091,4.611073,6.489856,4.588929,15.98893,0.2757292,3.105008,0.4577311,ACCELERATE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757392,3.105008,0.4866364,ACCELERATE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757433,3.105008,0.5107974,ACCELERATE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.2757444,3.105008,0.5194868,ACCELERATE
-1,6.520897,4.611063,6.48987,4.588938,15.98894,0.2757459,3.105008,0.6089244,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757443,3.10501,0.7002954,ACCELERATE
-1,6.520884,4.611053,6.489883,4.588948,15.98895,0.275744,3.105023,0.8053221,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757447,3.10504,0.9070552,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757435,3.10505,1.001262,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105063,1.105524,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105079,1.201586,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105093,1.302376,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105108,1.411865,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105124,1.506155,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105135,1.600671,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.10515,1.700704,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105161,1.802246,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105173,1.903472,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.10519,2.004568,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757444,3.105204,2.106141,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105217,2.208103,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757439,3.105231,2.301307,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275744,3.105244,2.403971,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757437,3.105258,2.505216,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105272,2.605318,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105282,2.700303,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757441,3.105299,2.815983,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105315,2.900782,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757436,3.105327,3.001067,ACCELERATE
-1,6.52089,4.611039,6.489878,4.588962,15.98896,0.2757197,3.175441,3.126452,ACCELERATE
-1,6.520946,4.61103,6.489821,4.588972,15.98897,0.2757054,3.337958,3.206859,ACCELERATE
-1,6.521013,4.611023,6.489755,4.588978,15.98898,0.275698,3.642332,3.300935,ACCELERATE
-1,6.521178,4.611027,6.48959,4.588974,15.98897,0.285744,4.100584,3.402844,ACCELERATE
-1,6.521393,4.611063,6.489376,4.588938,15.98893,0.2781664,4.671416,3.502985,ACCELERATE
-1,6.521528,4.61113,6.48924,4.588871,15.98887,0.2799268,5.372604,3.604504,ACCELERATE
-1,6.521667,4.611196,6.489102,4.588806,15.9888,0.279056,6.197372,3.707424,ACCELERATE
