ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,NONE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2756875,3.105008,0.4098821,NONE
-1,6.520908,4.611072,6.489858,4.58893,15.98893,0.275722,3.105008,0.4454082,NONE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757249,3.105008,0.4503272,NONE
-1,6.520902,4.611067,6.489864,4.588934,15.98893,0.2757421,3.105008,0.5017018,NONE
-1,6.520895,4.611062,6.489871,4.588939,15.98894,0.275746,3.105011,0.6066499,NONE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.2757465,3.105029,0.7014609,NONE
-1,6.520883,4.611053,6.489884,4.588949,15.98895,0.2757457,3.105055,0.8029876,ACCELERATE
-1,6.520876,4.611048,6.489892,4.588953,15.98895,0.2757463,3.10508,0.9002539,ACCELERATE
-1,6.520869,4.611043,6.489898,4.588958,15.98896,0.2757464,3.105113,1.001848,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757417,3.105121,1.103445,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757445,3.105131,1.200995,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275747,3.105168,1.303241,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105184,1.401654,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757435,3.105191,1.50187,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757464,3.105224,1.602433,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757438,3.105247,1.702463,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757451,3.105272,1.802323,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757457,3.105301,1.902488,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757427,3.105309,2.000648,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757454,3.10533,2.102893,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757478,3.105372,2.202827,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105378,2.300056,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757452,3.105392,2.401818,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.275747,3.105429,2.502573,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757443,3.105454,2.601788,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105461,2.700697,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757467,3.105485,2.800143,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757453,3.105521,2.902197,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757424,3.10553,3.000257,ACCELERATE
