ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521043,4.61109,6.489725,4.588912,15.98893,0.2756149,3.105009,0.3733333,ACCELERATE
-1,6.52091,4.611073,6.489857,4.588929,15.98893,0.2757096,3.105008,0.4296118,ACCELERATE
-1,6.520906,4.61107,6.489861,4.588932,15.98893,0.275723,3.105008,0.4471361,ACCELERATE
-1,6.520905,4.611069,6.489862,4.588933,15.98893,0.2757256,3.105008,0.4516418,ACCELERATE
-1,6.520902,4.611067,6.489865,4.588934,15.98893,0.275743,3.105007,0.5041202,ACCELERATE
-1,6.520897,4.611063,6.48987,4.588938,15.98894,0.275746,3.105006,0.600633,ACCELERATE
-1,6.520889,4.611057,6.489878,4.588944,15.98894,0.275745,3.105012,0.7005389,ACCELERATE
-1,6.520883,4.611053,6.489885,4.588949,15.98895,0.2757485,3.105055,0.8026672,ACCELERATE
-1,6.520876,4.611048,6.489891,4.588953,15.98895,0.2757432,3.105074,0.9020413,ACCELERATE
-1,6.520871,4.611044,6.489897,4.588957,15.98896,0.2757472,3.105105,1.000293,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757426,3.105119,1.100059,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757467,3.105155,1.201412,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105183,1.302889,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757428,3.105201,1.402853,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757458,3.105217,1.501409,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757467,3.105255,1.600073,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757456,3.105273,1.701524,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757451,3.1053,1.80041,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.1053,1.901601,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757482,3.105343,2.001531,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757446,3.105365,2.102409,ACCELERATE
-1,6.520868,4.611042,6.489899,4.588959,15.98896,0.2757425,3.105365,2.200876,ACCELERATE
